Time,ID,Bus,DataLen,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,
946702807.399000,0x000005D0,0,8,0torque:N.m,-0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.402000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.405000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.408000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.411000,0x000005D0,0,8,0torque:N.m,-1.2torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.414000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.417000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.420000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.423000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.426000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.429000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.432000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.435000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.438000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.441000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.444000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
